Name,wACSF_Rad0_0,wACSF_Rad0_1,wACSF_Rad0_2,wACSF_Rad0_3,wACSF_Rad0_4,wACSF_Rad0_5,wACSF_Rad0_6,wACSF_Rad0_7,wACSF_Rad0_8,wACSF_Rad0_9,wACSF_Rad1_0,wACSF_Rad1_1,wACSF_Rad1_2,wACSF_Rad1_3,wACSF_Rad1_4,wACSF_Rad1_5,wACSF_Rad1_6,wACSF_Rad1_7,wACSF_Rad1_8,wACSF_Rad1_9,wACSF_Rad2_0,wACSF_Rad2_1,wACSF_Rad2_2,wACSF_Rad2_3,wACSF_Rad2_4,wACSF_Rad2_5,wACSF_Rad2_6,wACSF_Rad2_7,wACSF_Rad2_8,wACSF_Rad2_9,wACSF_Rad3_0,wACSF_Rad3_1,wACSF_Rad3_2,wACSF_Rad3_3,wACSF_Rad3_4,wACSF_Rad3_5,wACSF_Rad3_6,wACSF_Rad3_7,wACSF_Rad3_8,wACSF_Rad3_9,wACSF_Rad4_0,wACSF_Rad4_1,wACSF_Rad4_2,wACSF_Rad4_3,wACSF_Rad4_4,wACSF_Rad4_5,wACSF_Rad4_6,wACSF_Rad4_7,wACSF_Rad4_8,wACSF_Rad4_9,wACSF_Rad5_0,wACSF_Rad5_1,wACSF_Rad5_2,wACSF_Rad5_3,wACSF_Rad5_4,wACSF_Rad5_5,wACSF_Rad5_6,wACSF_Rad5_7,wACSF_Rad5_8,wACSF_Rad5_9,wACSF_Rad6_0,wACSF_Rad6_1,wACSF_Rad6_2,wACSF_Rad6_3,wACSF_Rad6_4,wACSF_Rad6_5,wACSF_Rad6_6,wACSF_Rad6_7,wACSF_Rad6_8,wACSF_Rad6_9,wACSF_Rad7_0,wACSF_Rad7_1,wACSF_Rad7_2,wACSF_Rad7_3,wACSF_Rad7_4,wACSF_Rad7_5,wACSF_Rad7_6,wACSF_Rad7_7,wACSF_Rad7_8,wACSF_Rad7_9,wACSF_Ang0_0,wACSF_Ang0_1,wACSF_Ang0_2,wACSF_Ang0_3,wACSF_Ang0_4,wACSF_Ang0_5,wACSF_Ang0_6,wACSF_Ang0_7,wACSF_Ang0_8,wACSF_Ang0_9,wACSF_Ang1_0,wACSF_Ang1_1,wACSF_Ang1_2,wACSF_Ang1_3,wACSF_Ang1_4,wACSF_Ang1_5,wACSF_Ang1_6,wACSF_Ang1_7,wACSF_Ang1_8,wACSF_Ang1_9,wACSF_Ang2_0,wACSF_Ang2_1,wACSF_Ang2_2,wACSF_Ang2_3,wACSF_Ang2_4,wACSF_Ang2_5,wACSF_Ang2_6,wACSF_Ang2_7,wACSF_Ang2_8,wACSF_Ang2_9,wACSF_Ang3_0,wACSF_Ang3_1,wACSF_Ang3_2,wACSF_Ang3_3,wACSF_Ang3_4,wACSF_Ang3_5,wACSF_Ang3_6,wACSF_Ang3_7,wACSF_Ang3_8,wACSF_Ang3_9,wACSF_Ang4_0,wACSF_Ang4_1,wACSF_Ang4_2,wACSF_Ang4_3,wACSF_Ang4_4,wACSF_Ang4_5,wACSF_Ang4_6,wACSF_Ang4_7,wACSF_Ang4_8,wACSF_Ang4_9,wACSF_Ang5_0,wACSF_Ang5_1,wACSF_Ang5_2,wACSF_Ang5_3,wACSF_Ang5_4,wACSF_Ang5_5,wACSF_Ang5_6,wACSF_Ang5_7,wACSF_Ang5_8,wACSF_Ang5_9,wACSF_Ang6_0,wACSF_Ang6_1,wACSF_Ang6_2,wACSF_Ang6_3,wACSF_Ang6_4,wACSF_Ang6_5,wACSF_Ang6_6,wACSF_Ang6_7,wACSF_Ang6_8,wACSF_Ang6_9,wACSF_Ang7_0,wACSF_Ang7_1,wACSF_Ang7_2,wACSF_Ang7_3,wACSF_Ang7_4,wACSF_Ang7_5,wACSF_Ang7_6,wACSF_Ang7_7,wACSF_Ang7_8,wACSF_Ang7_9,wACSF_Ang8_0,wACSF_Ang8_1,wACSF_Ang8_2,wACSF_Ang8_3,wACSF_Ang8_4,wACSF_Ang8_5,wACSF_Ang8_6,wACSF_Ang8_7,wACSF_Ang8_8,wACSF_Ang8_9,wACSF_Ang9_0,wACSF_Ang9_1,wACSF_Ang9_2,wACSF_Ang9_3,wACSF_Ang9_4,wACSF_Ang9_5,wACSF_Ang9_6,wACSF_Ang9_7,wACSF_Ang9_8,wACSF_Ang9_9,wACSF_Ang10_0,wACSF_Ang10_1,wACSF_Ang10_2,wACSF_Ang10_3,wACSF_Ang10_4,wACSF_Ang10_5,wACSF_Ang10_6,wACSF_Ang10_7,wACSF_Ang10_8,wACSF_Ang10_9,wACSF_Ang11_0,wACSF_Ang11_1,wACSF_Ang11_2,wACSF_Ang11_3,wACSF_Ang11_4,wACSF_Ang11_5,wACSF_Ang11_6,wACSF_Ang11_7,wACSF_Ang11_8,wACSF_Ang11_9,wACSF_Ang12_0,wACSF_Ang12_1,wACSF_Ang12_2,wACSF_Ang12_3,wACSF_Ang12_4,wACSF_Ang12_5,wACSF_Ang12_6,wACSF_Ang12_7,wACSF_Ang12_8,wACSF_Ang12_9,wACSF_Ang13_0,wACSF_Ang13_1,wACSF_Ang13_2,wACSF_Ang13_3,wACSF_Ang13_4,wACSF_Ang13_5,wACSF_Ang13_6,wACSF_Ang13_7,wACSF_Ang13_8,wACSF_Ang13_9,wACSF_Ang14_0,wACSF_Ang14_1,wACSF_Ang14_2,wACSF_Ang14_3,wACSF_Ang14_4,wACSF_Ang14_5,wACSF_Ang14_6,wACSF_Ang14_7,wACSF_Ang14_8,wACSF_Ang14_9,wACSF_Ang15_0,wACSF_Ang15_1,wACSF_Ang15_2,wACSF_Ang15_3,wACSF_Ang15_4,wACSF_Ang15_5,wACSF_Ang15_6,wACSF_Ang15_7,wACSF_Ang15_8,wACSF_Ang15_9,wACSF_Ang16_0,wACSF_Ang16_1,wACSF_Ang16_2,wACSF_Ang16_3,wACSF_Ang16_4,wACSF_Ang16_5,wACSF_Ang16_6,wACSF_Ang16_7,wACSF_Ang16_8,wACSF_Ang16_9,wACSF_Ang17_0,wACSF_Ang17_1,wACSF_Ang17_2,wACSF_Ang17_3,wACSF_Ang17_4,wACSF_Ang17_5,wACSF_Ang17_6,wACSF_Ang17_7,wACSF_Ang17_8,wACSF_Ang17_9,wACSF_Ang18_0,wACSF_Ang18_1,wACSF_Ang18_2,wACSF_Ang18_3,wACSF_Ang18_4,wACSF_Ang18_5,wACSF_Ang18_6,wACSF_Ang18_7,wACSF_Ang18_8,wACSF_Ang18_9,wACSF_Ang19_0,wACSF_Ang19_1,wACSF_Ang19_2,wACSF_Ang19_3,wACSF_Ang19_4,wACSF_Ang19_5,wACSF_Ang19_6,wACSF_Ang19_7,wACSF_Ang19_8,wACSF_Ang19_9
4-Methoxyphenyl ß-D-galactopyranoside,0,9,16,12,1,0,0,0,0,0,0,0,3,4,6,10,6,6,3,0,0,0,1,5,2,4,8,11,3,4,0,0,5,3,7,13,9,1,0,0,0,3,17,15,3,0,0,0,0,0,5,27,6,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,4,19,9,6,0,0,0,0,0,0,1,5,4,10,4,2,3,4,3,2,2,6,9,7,7,4,3,0,0,0,14,19,5,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,16,10,5,7,0,0,0,0,0,0,20,11,7,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
4-Methoxyphenyl ß-D-glucopyranoside,0,12,14,11,1,0,0,0,0,0,0,0,3,4,10,7,5,6,3,0,0,0,1,4,2,8,6,9,4,4,0,0,3,3,9,12,9,2,0,0,0,0,17,17,4,0,0,0,0,0,4,26,8,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,4,20,5,9,0,0,0,0,0,0,1,4,4,10,7,1,3,2,4,2,3,5,7,10,6,4,2,1,0,0,10,22,6,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,16,9,5,8,0,0,0,0,0,0,18,11,8,1,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
4-Methoxyphenyl α-D-galactopyranoside,0,10,15,10,3,0,0,0,0,0,0,0,3,4,8,8,3,7,5,0,0,0,1,3,2,5,9,8,4,6,0,0,1,3,7,15,5,5,2,0,0,0,17,13,6,2,0,0,0,0,6,23,9,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,7,19,4,8,0,0,0,0,0,0,2,5,5,7,6,0,3,6,1,3,5,5,4,9,6,7,1,1,0,0,9,23,6,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,16,10,4,7,1,0,0,0,0,0,19,10,8,1,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
4-Methoxyphenyl α-D-glucopyranoside,0,13,15,10,0,0,0,0,0,0,0,0,3,4,11,5,5,8,2,0,0,0,1,3,1,7,6,9,6,5,0,0,1,3,6,15,8,4,1,0,0,0,15,16,6,1,0,0,0,0,9,24,5,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,11,14,12,1,0,0,0,0,0,0,3,4,9,7,2,2,8,1,1,1,4,5,7,9,8,4,0,1,0,0,7,21,8,2,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,0,0,0,18,8,6,6,0,0,0,0,0,0,22,10,5,1,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
4-Bromophenyl ß-D-glucopyranoside,1,4,16,11,2,0,0,0,0,0,0,0,2,1,4,5,11,7,4,0,0,0,1,0,0,2,8,10,5,8,0,0,1,0,7,13,6,1,5,1,0,0,12,16,4,2,0,0,0,0,2,26,6,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,16,9,6,0,0,0,0,0,0,2,1,3,3,5,7,2,3,3,5,1,2,2,3,3,9,8,3,2,1,4,11,10,8,1,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,7,12,6,4,5,0,0,0,0,0,6,13,10,5,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
4-Chlorophenyl β-D-glucopyranoside,0,5,15,13,1,0,0,0,0,0,0,0,1,2,5,7,9,6,4,0,0,0,0,1,0,4,6,10,5,8,0,0,0,1,5,13,9,4,2,0,0,0,14,16,3,1,0,0,0,0,10,18,6,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,14,12,4,0,0,0,0,0,0,0,3,3,6,1,7,3,3,6,2,1,3,3,3,2,8,8,1,4,1,4,9,12,7,2,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,8,10,9,2,5,0,0,0,0,0,9,11,9,5,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
4-Fluorophenyl ß-D-glucopyranoside,0,5,16,11,2,0,0,0,0,0,0,0,1,2,7,5,6,8,5,0,0,0,0,1,2,3,4,9,7,8,0,0,0,1,5,12,13,3,0,0,0,0,18,13,3,0,0,0,0,0,12,17,5,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,16,12,2,0,0,0,0,0,0,0,2,4,7,1,5,5,2,6,2,2,3,1,3,3,7,9,1,4,1,5,10,11,7,1,0,0,0,0,0,32,2,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,9,10,7,3,5,0,0,0,0,0,8,11,10,5,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
4-Hydroxyphenyl ß-D-glucopyranoside,0,8,14,12,1,0,0,0,0,0,0,0,1,4,9,2,9,5,5,0,0,0,0,2,2,4,3,9,8,7,0,0,2,1,5,12,12,3,0,0,0,0,18,13,4,0,0,0,0,0,12,17,6,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,7,14,13,1,0,0,0,0,0,0,1,2,9,2,2,5,4,2,6,2,3,3,3,3,3,6,7,5,2,0,6,11,14,3,1,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,11,9,7,6,2,0,0,0,0,0,12,8,11,4,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
4-Methylphenyl ß-D-glucopyranoside,0,8,15,10,4,0,0,0,0,0,0,0,1,6,8,7,3,8,4,0,0,0,0,4,4,3,10,4,6,6,0,0,3,4,4,11,13,2,0,0,0,0,19,11,7,0,0,0,0,0,6,22,9,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,6,16,5,10,0,0,0,0,0,0,0,5,5,9,4,3,0,5,1,5,3,6,6,11,4,4,3,0,0,0,11,23,3,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,30,7,0,0,0,0,0,0,0,0,15,10,2,10,0,0,0,0,0,0,19,9,9,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
Phenyl ß-D-glucopyranoside,0,6,16,11,1,0,0,0,0,0,0,0,0,6,4,5,9,5,5,0,0,0,0,2,3,1,8,8,7,5,0,0,0,2,8,11,11,2,0,0,0,5,14,13,2,0,0,0,0,0,17,13,4,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,15,12,3,0,0,0,0,0,0,0,4,5,4,2,4,4,3,5,3,2,4,2,2,2,8,9,2,2,1,5,13,13,2,1,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,12,7,8,2,5,0,0,0,0,0,10,10,9,5,0,0,0,0,0,0,26,8,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
