Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
4-methoxyphenyl ß-d-galactopyranoside,2.91993,1039.05491,-1.38000,-1.12610,286.10525,1.30000,0.22872,0.53846,4,7,0.55693,27.35774,13.42423,4.79124,0.98382,0.53846,-1.38000,0.00129,4.08464,6.38000,3.02382,0.17918,0.90507,0,1,1,0,1,0,1,7,4,7,1,7,4,2,9,0,1,1,0.83637,701.41218,0.20035,108.61000
4-methoxyphenyl ß-d-glucopyranoside,2.91993,1039.05491,-1.38000,-1.12610,286.10525,1.30000,0.22872,0.53846,4,7,0.49022,27.35774,13.42423,4.79124,0.97667,0.53846,-1.38000,0.00118,4.08464,6.38000,3.02382,0.21473,0.89927,0,1,1,0,1,0,1,7,4,7,1,7,4,2,9,0,1,1,0.76051,763.51882,0.18407,108.61000
4-methoxyphenyl α-d-galactopyranoside,2.91993,1039.05491,-1.38000,-1.12610,286.10525,1.30000,0.22872,0.53846,4,7,0.55873,27.35774,13.42423,4.79124,0.98394,0.53846,-1.38000,0.00138,4.08464,6.38000,3.02382,0.17850,0.91419,0,1,1,0,1,0,1,7,4,7,1,7,4,2,9,0,1,1,0.85388,660.10683,0.19770,108.61000
4-methoxyphenyl α-d-glucopyranoside,2.91993,1039.05491,-1.38000,-1.12610,286.10525,1.30000,0.22872,0.53846,4,7,0.48280,27.35774,13.42423,4.79124,0.97562,0.53846,-1.38000,0.00112,4.08464,6.38000,3.02382,0.21947,0.91286,0,1,1,0,1,0,1,7,4,7,1,7,4,2,9,0,1,1,1.02256,811.73801,0.27003,108.61000
4-bromophenyl ß-d-glucopyranoside,2.95217,939.29243,-0.70000,-0.37220,334.00520,1.31579,0.22872,0.50000,4,6,0.63178,23.82745,11.70497,5.36497,0.98975,0.50000,-0.70000,0.00110,4.65538,6.16731,3.24997,0.14283,0.87974,0,1,1,0,1,0,1,6,4,7,1,6,4,2,7,0,1,1,0.65957,803.30071,0.15379,99.38000
4-chlorophenyl β-d-glucopyranoside,2.95217,939.29243,-0.89000,-0.48130,290.05572,1.31579,0.22872,0.50000,4,6,0.53172,23.82745,11.70497,4.94994,0.98136,0.50000,-0.89000,0.00110,4.55675,6.04202,3.16896,0.19216,0.84002,0,1,1,0,1,0,1,6,4,7,1,6,4,2,7,0,1,1,0.68411,762.53727,0.16279,99.38000
4-fluorophenyl ß-d-glucopyranoside,2.95217,939.29243,-1.25000,-0.99560,274.08527,1.31579,0.22872,0.50000,4,6,0.46594,23.82745,11.70497,4.57198,0.97343,0.50000,-1.25000,0.00107,4.37200,5.80669,3.01779,0.22898,0.80769,0,1,1,0,1,0,1,6,4,7,1,6,4,2,7,0,1,1,0.61524,751.86394,0.13994,99.38000
4-hydroxyphenyl ß-d-glucopyranoside,2.94967,951.69595,-1.38000,-1.42910,272.08960,1.26316,0.29309,0.50000,5,7,0.44785,24.85774,12.12836,4.58712,0.97115,0.50000,-1.38000,0.00118,4.06082,5.72238,2.96396,0.23849,0.83876,0,1,1,0,1,0,1,7,5,7,1,7,5,2,8,0,1,1,0.74768,710.84545,0.19049,119.61000
4-methylphenyl ß-d-glucopyranoside,2.97115,1020.91589,-1.18000,-0.82628,270.11034,1.36842,0.22872,0.53846,4,6,0.49700,26.94949,13.26599,4.63299,0.97712,0.53846,-1.18000,0.00145,3.71871,5.85223,3.04695,0.21269,0.93659,0,1,1,0,1,0,1,6,4,6,1,6,4,2,8,0,1,1,0.90876,647.39727,0.23167,99.38000
phenyl ß-d-glucopyranoside,2.95217,933.89579,-1.18000,-1.13470,256.09469,1.27778,0.22872,0.50000,4,6,0.40524,24.44949,12.01599,4.38299,0.96361,0.50000,-1.18000,0.00106,3.68037,5.64026,2.62777,0.26733,0.77507,0,1,1,0,1,0,1,6,4,6,1,6,4,2,7,0,1,1,0.62602,730.98671,0.14191,99.38000
